627,594,628,0,620,TECNOLOGIA MEDICA - UDEC
659,622,614,627,579,ING. DE EJEC. EN ELECTRICIDAD - USACH
485,605,564,0,517,INGENIERIA EN BIOINFORMATICA - UTAL
634,605,602,645,641,|||MEDICINA: CAMPO CLINICO VALDIVIA - UACH|
543,704,0,714,517,ADMINISTRACION PUBLICA LIC EN CS POLITICAS Y GUBERNAMENTALES - UCH
648,583,602,0,579,INGENIERÍA CIVIL EN COMPUTACIÓN E INFORMÁTICA - UMAYO
581,605,557,0,682,INGENIERÍA CIVIL EN OBRAS CIVILES - UDD
576,483,527,0,414,INGENIERIA CIVIL EN OBRAS CIVILES - UTEM
603,542,461,0,373,INGENIERIA EN INFORMATICA - UTEM
584,483,514,419,620,DISEÑO GRAFICO O DISEÑO INDUSTRIAL - PUCV
656,628,626,0,682,MEDICINA - UTAL
529,568,0,551,579,|||PEDAGOGÍA EN INGLÉS - UMAG|
506,558,0,590,558,PEDAGOGIA EN EDUCACION MEDIA  LENGUAJE Y COMUNICACION - UCSC
589,516,583,0,517,KINESIOLOGÍA - UFT
506,605,548,0,414,OBSTETRICIA Y PUERICULTURA. LICENCIADO EN OBSTETRICIA Y PUERICULTURA - UANT
493,501,0,504,359,PEDAGOGÍA EN INGLÉS - UNAB
485,616,473,0,662,ENFERMERIA - UFRO
557,579,527,0,496,|||INGENIERIA CIVIL - UCN|
506,594,564,0,723,MEDICINA - UC
448,516,0,439,641,INGENIERIA COMERCIAL - UCSC
543,465,514,0,517,AGRONOMIA - UFRO
548,448,499,0,420,TECNICO UNIVERSITARIO EN PROYECTO Y DISEÑO MECANICO - UTFSM
606,611,614,0,620,KINESIOLOGÍA - UFT
592,655,0,738,620,|||LIC EN ED C/M EN HIST. O  GEO Y PED EN HIST - UMCE|
589,635,552,624,579,INGENIERIA EN CONSTRUCCION - UCM
630,552,608,0,599,ODONTOLOGÍA - UNAB
624,635,586,0,682,ENFERMERÍA - UMAYO
565,611,552,0,476,INGENIERIA COMERCIAL - USACH
672,583,583,0,496,INGENIERÍA  CIVIL - ULS
600,579,542,0,538,KINESIOLOGÍA - UNAB
485,506,520,0,519,TECNOLOGIA MEDICA - UCT
485,510,507,0,501,TECNOLOGIA MEDICA - UCT
627,655,598,0,558,ING. DE EJEC. EN ELECTRICIDAD - USACH
524,477,492,0,620,TECNOLOGIA MEDICA. LICENCIADO  EN TECNOLOGIA MEDICA - UANT
548,583,0,578,723,ADMINISTRACION PUBLICA LIC EN CS POLITICAS Y GUBERNAMENTALES - UCH
518,600,0,546,414,ARQUITECTURA - PUCV
637,579,602,624,641,INGENIERIA CIVIL EN MINAS - UNAB
499,453,499,0,414,NUTRICIÓN Y DIETÉTICA CON MENCIÓN GESTIÓN Y CALIDAD - UNAB
589,548,520,0,641,ING. DE EJEC. EN MINAS - USACH
543,516,532,397,517,DISEÑO INDUSTRIAL - UTEM
640,628,637,689,538,INGENIERIA CIVIL INDUSTRIAL - UTFSM
708,736,717,653,702,INGENIERIA CIVIL QUIMICA - UTFSM
561,506,461,0,517,ENFERMERÍA - UCM
573,472,514,0,682,ENFERMERÍA - UNAB
589,641,605,0,538,ENFERMERÍA - UNAB
513,527,520,0,499,FONOAUDIOLOGIA - UV
477,527,527,0,476,MEDICINA VETERINARIA - UNAB
569,628,0,636,599,DERECHO - UNAB
603,488,564,0,641,QUIMICA Y FARMACIA - UC
702,611,628,0,702,PEDAGOGIA EN CS. NATURALES Y BIOLOGIA - UDEC
469,605,514,0,476,PEDAGOGIA EN EDUCACION MEDIA EN INGLES - UCSC
548,568,557,0,558,INGENIERIA CIVIL METALURGICA - UCN
738,635,762,0,723,MEDICINA - UDEC
499,488,527,471,620,ARQUITECTURA - UTAL
729,655,642,0,702,|||ODONTOLOGIA - UACH|
573,506,483,0,496,CONTADOR AUDITOR - PUCV
524,494,473,0,599,INGENIERIA CIVIL EN MINAS - UNAB
518,477,507,429,641,INGENIERIA EN  CONSTRUCCION - ULS
506,563,0,598,496,INGENIERIA EN INFORMATICA - UTEM
627,736,688,0,682,MEDICINA - UDEC
499,594,431,0,558,INGENIERÍA EN COMPUTACIÓN E INFORMÁTICA - UNAB
603,611,0,701,764,SOCIOLOGIA - UV
469,641,0,631,785,ARQUITECTURA - UTFSM
637,670,649,573,517,|||DISEÑO - UCH|
506,600,514,0,496,ODONTOLOGÍA - UDD
493,563,392,0,458,INGENIERIA CIVIL PLAN COMUN - UCT
0,0,0,0,723,ENFERMERIA - ULS
561,579,0,498,435,|||PEDAGOGIA EN EDUCACION DIFERENCIAL C/M - UACH|
499,460,448,397,703,|||INGENIERIA EN CONSTRUCCION - UACH|
539,552,461,504,723,INGENIERIA EN BIOTECNOLOGIA - UCM
548,527,527,0,455,MEDICINA - UCM
543,501,532,0,476,AGRONOMIA - UCT
543,506,619,0,435,KINESIOLOGÍA - UNAB
634,573,0,640,599,INGENIERÍA COMERCIAL: LICENCIADO EN CIENCIAS ADMINISTRATIVAS - UANDE
535,477,483,521,414,GEOLOGÍA - UNAB
746,488,651,0,496,ING. DE EJEC. EN MECANICA - USACH
557,531,602,0,682,MEDICINA - UFRO
529,568,499,0,558,ENFERMERÍA - UCM
535,573,483,0,538,NUTRICIÓN Y DIETÉTICA CON MENCIÓN GESTIÓN Y CALIDAD - UNAB
513,440,461,678,373,OBSTETRICIA Y PUERICULTURA - UMAYO
518,594,507,492,641,AUDITORIA - DIURNA (LOS ANGELES) - UDEC
603,448,473,0,476,PEDAGOGÍA EN MATEMÁTICAS - UAH
529,537,514,0,478,KINESIOLOGÍA - ULS
477,510,0,457,539,ARQUITECTURA - ULS
600,655,572,0,682,|||NUTRICION Y DIETETICA - UCH|
569,552,0,578,703,INGENIERIA DE EJECUCION EN MECANICA - UBB
584,558,572,0,621,INGENIERIA CIVIL MECANICA - UTFSM
493,527,0,526,455,DERECHO - UDD
543,635,0,564,496,TEATRO - UMAYO
569,548,0,573,601,EDUCACION PARVULARIA - UV
617,678,628,0,641,OBSTETRICIA Y PUERICULTURA - USACH
672,589,631,0,538,INGENIERIA CIVIL QUIMICA - UDEC
524,440,461,384,682,INGENIERIA COMERCIAL - UBB
569,483,532,0,455,INGENIERÍA CIVIL Y EJECUCIÓN ELÉCTRICA-ELECTRÓNICA INGRESO COMÚN - UTA
648,662,642,0,620,INGENIERÍA COMERCIAL: LICENCIADO EN CIENCIAS ADMINISTRATIVAS - UANDE
436,506,0,594,393,LICENCIATURA EN HISTORIA - UNAB
606,527,586,0,455,ODONTOLOGÍA - UNAB
539,488,492,0,560,|||INGENIERIA COMERCIAL - UACH|
529,600,392,607,641,|||EDUCACION ESPECIAL - UCM|
529,558,0,683,393,SOCIOLOGIA - UV
513,558,461,479,519,DERECHO. LICENCIADO  EN CIENCIAS JURIDICAS - UANT
627,747,649,0,723,MEDICINA - UDEC
485,594,461,0,517,PSICOLOGÍA - UNAB
493,583,0,551,435,TRABAJO SOCIAL - PUCV
513,647,0,615,723,PSICOLOGIA - UTA
535,516,0,551,496,|||PEDAGOGIA EN HISTORIA Y GEOGRAFIA - UPA|
539,611,611,0,538,QUÍMICA Y FARMACIA - UNAB
589,641,0,669,496,|||LIC EN ED C/M EN HIST. O  GEO Y PED EN HIST - UMCE|
485,472,414,0,517,ENFERMERIA - UBB
818,747,734,0,805,INGENIERIA - UC
644,655,692,0,599,|||OBSTETRICIA Y PUERICULTURA - UCH|
592,600,579,464,661,|||QUIMICA Y FARMACIA - UCH|
557,655,0,707,455,|||DERECHO - UCH|
